Tin,Q,flow_shale,flow_steam,length,Pressure,Status
953.1465,657.4825,0.007110962,0.00823927,12.72435,363.2457,f
913.8717,642.8151,0.01600487,0.03262332,71.97908,455.0062,nf
819.2744,720.1293,0.01743805,0.03046503,54.74666,377.4004,nf
834.189,88.78037,0.02126947,0.006497696,87.21682,436.6935,f
791.2846,795.877,0.01127341,0.03271602,64.46723,485.7763,nf
842.2206,517.6201,0.01410366,0.008676792,56.22194,316.9557,nf
764.7924,802.851,0.01946419,0.008286876,90.83054,454.3285,nf
1044.139,115.2743,0.007716496,0.01885238,30.62809,311.1597,f
991.5784,755.0873,0.00753581,0.03500619,39.2181,442.9763,f
855.9958,742.9707,0.01558548,0.01701502,75.01626,417.2948,nf
726.478,650.0377,0.009659437,0.02466839,61.71481,432.2362,nf
959.8086,880.435,0.007694208,0.01663753,63.481,359.3048,nf
822.1461,776.7201,0.03221007,0.006815096,71.72238,314.3608,nf
984.1082,374.914,0.005815794,0.008221959,92.32092,407.1519,nf
743.2929,135.9146,0.0143576,0.01719679,88.47036,458.2326,f
957.04,66.56285,0.04240832,0.00499043,72.74376,438.4343,f
1030.261,76.15104,0.008786997,0.01676813,89.92478,372.7452,f
992.1331,354.6123,0.03669787,0.009575663,37.61653,313.6784,f
910.4305,893.359,0.04405188,0.005909631,60.54897,420.1009,nf
792.7789,209.6543,0.00810334,0.005886675,59.28121,458.2079,nf
1023.067,328.3609,0.01780411,0.02834993,8.624789,463.4233,f
987.664,80.92099,0.01584262,0.007028905,93.07357,312.4944,f
1057.17,735.7022,0.01944273,0.01075883,34.21655,384.4257,nf
764.5461,127.8609,0.03492888,0.01243286,14.27723,319.2446,f
891.1345,607.94,0.01701664,0.03211917,18.9886,407.6229,f
733.3094,661.9508,0.01111342,0.005627308,29.02157,448.3132,nf
776.9605,885.3315,0.03246779,0.005035968,44.14773,455.3836,nf
848.8399,131.5636,0.0181719,0.02387837,67.17343,475.1349,f
935.0339,180.8348,0.006492215,0.006120104,64.87093,368.6498,f
703.2475,614.7406,0.02142702,0.01770078,70.8681,366.1502,nf
743.0583,923.9219,0.02059115,0.005817449,69.44767,328.4564,nf
1089.718,491.0505,0.02229572,0.01933199,68.62556,299.0852,nf
1014.427,775.003,0.04257542,0.006593475,44.02275,339.5591,nf
750.0394,297.6304,0.005870093,0.03877809,68.30874,355.5039,nf
828.9371,323.8696,0.01733726,0.02952614,43.69518,360.2076,f
1073.759,296.3185,0.03319122,0.006576645,87.24636,468.0715,nf
988.7253,635.1305,0.004159813,0.01869177,78.09743,317.5424,nf
945.3091,321.9486,0.01057362,0.03193276,92.73179,303.4448,nf
959.0548,135.216,0.01440261,0.00421364,35.29543,491.1431,f
733.4897,666.2067,0.008000114,0.01266347,92.11713,477.4048,nf
860.0683,921.8649,0.02386504,0.02601283,6.426722,317.3161,f
841.0771,500.1505,0.02711056,0.00548529,68.02417,409.7013,nf
792.4818,860.6369,0.004411584,0.04076474,20.46982,335.1141,f
820.6164,289.4995,0.02134468,0.007339563,47.91339,446.249,f
896.7607,40.95764,0.03232467,0.01487446,42.81198,364.9863,f
948.5381,138.8835,0.004803446,0.02418704,54.60224,473.6008,f
771.0303,53.2027,0.007854941,0.007760295,19.01963,390.2218,f
1091.651,16.75258,0.004485045,0.02519557,13.23881,435.0367,f
959.4368,910.3572,0.03382913,0.01013629,14.41118,385.9194,f
888.8083,964.1904,0.005911138,0.03532173,63.78844,437.5424,nf
832.5182,951.9835,0.02614059,0.02271821,51.80995,394.6793,nf
705.6494,337.0063,0.03098877,0.008917008,31.90801,344.8977,f
1088.1,221.7014,0.005424315,0.04114988,54.64282,346.9466,f
919.1881,958.5963,0.02512458,0.00342071,33.8423,305.6991,nf
1097.153,748.6703,0.006334795,0.003762363,49.62732,316.5285,nf
992.7047,220.8205,0.003859906,0.0440285,18.75593,383.4729,f
726.8209,36.56232,0.005042295,0.01853419,92.3733,348.6695,f
891.3835,689.1813,0.006549214,0.0403983,24.39755,415.696,f
994.8359,49.26472,0.005062654,0.03661888,92.50495,405.5072,f
993.5375,120.4958,0.02652261,0.0197924,6.065505,482.3802,f
1031.657,590.9991,0.008346987,0.018503,8.290768,304.1243,f
743.5643,852.3474,0.008500515,0.02908075,12.44313,438.3416,f
802.8465,357.4779,0.04197627,0.005949619,46.85348,344.7813,f
891.7582,637.3109,0.003603285,0.04584538,61.21273,498.9405,nf
1093.368,943.9434,0.005353184,0.003607142,13.5757,350.5889,nf
821.488,527.5898,0.007823586,0.03042085,5.429822,412.4257,f
779.6894,26.35187,0.00397503,0.01920787,58.65515,291.221,f
738.8547,861.1733,0.04166366,0.006397036,95.68738,374.9201,nf
920.5971,309.169,0.007419961,0.03438635,9.321736,294.271,f
1098.383,762.998,0.03222476,0.008033558,37.69185,493.9051,f
826.898,678.9457,0.01236233,0.008616223,8.103779,420.4999,f
848.4098,962.1114,0.003942955,0.004795723,97.5078,394.9358,nf
970.8002,33.97359,0.02086542,0.004195473,5.157987,297.5933,f
740.7359,269.1064,0.04255273,0.004006949,15.80817,290.148,f
928.5495,394.6318,0.006089619,0.03267453,88.71667,431.2618,nf
762.2074,891.9191,0.004206912,0.03876413,85.61543,497.6813,nf
1074.207,776.8142,0.01678261,0.003720949,83.68292,496.1199,nf
731.6703,915.6891,0.01486237,0.01710475,71.51636,383.8775,nf
1025.147,118.3686,0.01906197,0.01546917,75.46617,343.421,f
711.7565,144.6349,0.007634229,0.004672373,98.36869,307.8205,nf
1027.54,605.5544,0.02249133,0.007280628,43.72188,439.1843,nf
1039.146,208.9382,0.003655042,0.02208431,99.34514,486.0744,f
750.307,609.1016,0.04520899,0.003656802,36.00757,388.8736,f
828.1808,451.7746,0.003694038,0.04619844,33.80778,465.4941,f
1073.315,39.45846,0.005953767,0.007554975,11.78783,306.98,f
1099.219,559.6385,0.03474887,0.005290951,97.83743,430.2454,nf
785.3695,999.7254,0.003166303,0.01178248,41.58258,307.4433,nf
974.2644,400.9459,0.02887467,0.01824,80.25656,418.5387,nf
770.6465,17.56295,0.003209419,0.04452088,51.39955,379.1247,f
700.7339,492.1279,0.003748446,0.003862415,78.54488,433.4371,nf
939.0275,978.7325,0.02015816,0.007199413,97.61451,482.1819,nf
1068.287,917.7021,0.04464867,0.004111648,34.0488,450.1431,f
1094.517,69.23236,0.02013381,0.01098218,6.139473,462.3177,f
1002.202,995.8847,0.009383359,0.03977646,54.4912,485.9453,nf
844.493,642.1139,0.04578695,0.003619392,17.95479,466.4582,f
1088.53,502.4874,0.003095876,0.007367002,70.63998,499.3629,nf
1049.864,799.4191,0.01312645,0.02018143,6.243964,494.7047,f
707.8309,901.993,0.006233881,0.02854392,94.89927,363.8797,nf
960.3594,977.1383,0.04474049,0.003835733,60.06844,293.8485,nf
1063.789,477.9969,0.02161566,0.005154869,98.21402,362.2154,nf
1068.739,34.81021,0.04123787,0.008604699,6.590573,482.8546,f
723.531,385.5572,0.007395834,0.003703926,56.82544,296.3584,nf
701.8355,633.2161,0.02584271,0.02371009,97.40468,351.1168,nf
756.7699,586.604,0.003584771,0.02719858,66.56447,495.1191,nf
1096.887,452.1279,0.01414215,0.005350318,30.16953,295.4339,f
958.9669,79.83482,0.02531442,0.006702433,49.40274,313.4608,f
711.2435,177.5617,0.008056911,0.02992361,92.75757,486.8706,f
838.4063,481.1698,0.03463793,0.003493818,90.2994,302.2208,nf
1080.963,89.64733,0.01626921,0.02834173,47.04376,291.0368,f
1008.616,916.9325,0.02816794,0.004767794,5.396532,477.2323,f
869.5983,329.5637,0.04364163,0.003099396,13.44432,392.1332,f
804.6352,998.2935,0.03829287,0.011178,90.36499,294.165,nf
757.7002,354.2709,0.04209179,0.003036285,83.53732,473.19,nf
1053.849,987.9304,0.03140648,0.005086883,65.89701,480.2744,nf
722.4741,110.2406,0.02441236,0.009985945,85.74078,322.9451,f
733.0116,989.2236,0.01566628,0.01753039,97.73904,492.4205,nf
754.2896,671.0304,0.003044465,0.01270809,15.00531,291.1087,f
712.9616,207.8914,0.04077725,0.007843641,12.13287,471.7407,f
1090.225,186.1211,0.003719719,0.003226395,99.27096,451.9291,nf
705.2503,791.0714,0.01040204,0.007903051,91.22233,318.6613,nf
1076.186,935.2937,0.009022621,0.02133021,98.14516,481.5773,nf
