ETOH_feed,Solvent_flowrate,Solvent_T,Reflux_ratio1,reflux_ratio2,Purity,Q_R1,Q_R2,QC1,QC2,QC3
0.830203333,65.13,32.61,2.104166667,1.455833333,0.933086978,11356.5834,2868.27017,-9457.25752,-2217.66298,-1948.04801
0.87995,99.15,49.39,2.139166667,2.300833333,0.981545247,12001.5761,3811.85073,-9502.29432,-2981.39097,-2711.07105
0.854296667,83.51666667,59.71,1.754166667,2.1825,0.956647857,10367.3885,3629.20967,-8364.91191,-2873.77121,-2148.44057
0.87397,80.85666667,38.19,2.335833333,2.539166667,0.975758987,12331.0022,3936.97104,-10105.5844,-3195.25693,-2350.66009
0.850136667,64.19666667,56.03,0.6125,0.550833333,0.95258872,6552.11313,2044.91073,-4900.1373,-1404.17674,-1684.33664
0.83237,83.65666667,33.33,1.1925,0.614166667,0.935212442,9017.61727,2213.31388,-6677.88737,-1465.08413,-2485.01346
0.832283333,99.80333333,48.67,2.045833333,0.8525,0.935127795,11786.1588,2507.19175,-9277.0532,-1680.14554,-2733.4651
0.876136667,108.25,54.13,2.455833333,0.500833333,0.977856697,13093.5068,2215.63766,-10466.1245,-1382.53751,-2841.66667
0.80715,103.7233333,48.81,0.545833333,1.5875,0.910377142,7313.56958,3188.45218,-4723.67938,-2339.27865,-2844.08575
0.825956667,97.70333333,54.45,2.519166667,0.669166667,0.92891614,13098.2313,2330.98601,-10727.479,-1517.90771,-2582.90502
0.828556667,73.15666667,52.07,1.719166667,2.974166667,0.931470263,10158.3767,4286.65977,-8286.06345,-3587.29943,-1970.37348
0.899276667,73.53,59.37,2.3625,2.819166667,0.999726726,11964.9157,4163.52653,-10152.4552,-3455.91947,-1895.90377
0.909936667,67.65,32.07,2.325833333,1.344166667,0.999612962,11872.8495,2970.57001,-10041.9217,-2168.60715,-2029.04998
0.913923333,71.89666667,47.89,2.474166667,1.415833333,0.999707891,12198.167,3114.50579,-10489.6397,-2237.91385,-1982.72995
0.92649,67.13666667,49.93,1.929166667,2.244166667,0.999743499,10337.4588,3935.01604,-8844.08319,-2993.55632,-1830.75631
0.87423,78.05666667,58.63,2.814166667,0.990833333,0.976010928,13465.7675,2524.50629,-11554.2495,-1800.1122,-2019.25878
0.834623333,62.51666667,32.13,1.789166667,1.204166667,0.93742226,10336.3259,2624.49948,-8492.73311,-1990.70617,-1874.11581
0.84485,105.9166667,38.61,0.5075,1.1075,0.947423932,7402.59752,2764.50667,-4584.22339,-1908.716,-3067.60207
0.811483333,56.49666667,52.57,2.099166667,1.404166667,0.914660485,10983.8963,2764.76564,-9464.87503,-2170.62973,-1516.77548
0.831156667,51.73666667,56.37,0.510833333,0.8925,0.934019149,6002.3125,2269.14893,-4602.43215,-1709.23546,-1357.51056
0.817983333,104.89,40.71,2.2825,1.9775,0.921070503,12767.426,3545.42031,-10016.3496,-2690.48903,-3007.90257
0.90153,68.91,45.63,0.539166667,1.4475,0.999613775,6477.6243,2945.68057,-4647.47465,-2235.80642,-1924.21416
0.871196667,54.21,42.85,1.610833333,2.830833333,0.973071566,9486.6483,4036.06857,-7912.15566,-3457.36083,-1537.60491
0.901616667,79.97,53.41,2.924166667,1.475833333,0.999746462,13824.1276,3038.39487,-11848.2669,-2262.24617,-2136.05393
0.911236667,101.0166667,49.49,2.210833333,2.249166667,0.999958168,12019.2157,4046.91796,-9694.20923,-3007.71073,-2760.82328
0.800996667,68.72333333,35.11,1.689166667,0.735833333,0.904291942,10174.2268,2240.35697,-8223.93484,-1570.16976,-2027.00129
0.839476667,44.78333333,52.71,0.714166667,0.8825,0.942174566,6514.68773,2207.23168,-5216.22274,-1699.8008,-1200.96606
0.905516667,106.29,49.05,2.6575,1.845833333,0.999954635,13588.4642,3596.39666,-11042.7924,-2622.10817,-2911.44816
0.822056667,89.77,52.83,1.959166667,0.5225,0.925080942,11244.0134,2159.24468,-9024.97034,-1387.91678,-2390.34257
0.900923333,80.15666667,51.33,1.720833333,2.394166667,0.999884322,10235.4889,3856.94705,-8214.8889,-3091.12035,-2167.89742
0.80325,58.17666667,46.87,1.370833333,0.9725,0.906522647,8850.2248,2386.67449,-7248.28939,-1781.74923,-1612.7959
0.830896667,47.91,59.53,1.6025,1.394166667,0.933767351,9232.07921,2693.35484,-7928.1565,-2161.22616,-1233.8385
0.865476667,40.77,39.41,2.0625,2.7425,0.967522526,10603.8079,3852.94494,-9287.87478,-3377.32633,-1177.90498
0.821103333,90.79666667,43.91,0.500833333,2.319166667,0.924138629,6944.93234,3789.17535,-4577.90999,-2997.3651,-2559.80893
0.847103333,107.5966667,49.71,2.744166667,2.020833333,0.949631784,14059.1748,3596.01798,-11382.2909,-2729.73834,-2936.09391
0.916176667,64.57,31.05,1.9725,2.099166667,0.999628947,10686.9382,3707.13599,-8975.0528,-2869.80715,-1947.1047
0.891563333,56.87,46.51,1.2275,2.834166667,0.992751409,8339.40327,4057.63852,-6732.20816,-3460.42742,-1580.94805
0.864696667,46.83666667,55.03,2.200833333,2.969166667,0.96676506,11037.2877,4106.25411,-9708.39572,-3581.9717,-1239.85939
0.845716667,94.39,59.99,2.994166667,2.8225,0.948277514,14366.1299,4260.57196,-12144.4633,-3451.44998,-2424.17769
0.845976667,83.42333333,55.13,1.480833333,0.835833333,0.948531099,9601.00117,2413.12064,-7542.85246,-1661.95102,-2202.44088
0.840863333,75.02333333,32.65,2.669166667,2.264166667,0.943532902,13302.6612,3656.71431,-11163.2661,-2946.98609,-2243.9796
0.88203,67.74333333,56.51,2.5175,2.439166667,0.983555733,12374.1433,3771.75765,-10644.5636,-3104.5002,-1777.26886
0.89815,94.53,39.07,2.419166667,2.3075,0.999091772,12876.1919,3796.55741,-10324.4879,-2987.10134,-2735.09216
0.826823333,49.96333333,35.97,1.510833333,1.224166667,0.929767684,9175.5607,2555.44223,-7652.92227,-2008.02976,-1469.06953
0.891823333,68.25666667,47.65,1.7075,1.740833333,0.993002799,10020.993,3144.75732,-8182.61261,-2474.74248,-1884.90113
0.87839,57.99,32.95,1.814166667,2.384166667,0.980036728,10265.8449,3659.28205,-8520.27755,-3054.53198,-1732.07252
0.81599,104.7033333,40.97,0.704166667,0.954166667,0.919104491,7943.27454,2620.69811,-5201.52502,-1771.64395,-2992.99553
0.862963333,81.65,54.95,2.195833333,2.690833333,0.965081024,11724.005,4078.04333,-9695.42158,-3332.07489,-2162.06847
0.912276667,69.93666667,41.83,1.964166667,1.650833333,0.999750009,10703.2825,3297.79129,-8949.73786,-2454.2214,-1994.22221
0.86903,49.35666667,41.03,0.770833333,0.545833333,0.97096846,6853.24281,1938.42753,-5368.08129,-1397.33806,-1411.27509
0.861663333,58.55,33.49,2.375833333,2.650833333,0.963817604,11990.8956,3903.69544,-10243.2293,-3295.10936,-1744.09011
0.843376667,98.68333333,43.03,2.2025,1.239166667,0.945990698,12313.1961,2851.70108,-9740.30235,-2025.64823,-2792.90052
0.862096667,101.9033333,53.03,2.6425,1.5025,0.964238801,13549.7247,3103.79879,-11051.7493,-2262.64809,-2726.9317
0.82145,63.40333333,50.81,1.1125,2.389166667,0.924483682,8122.29452,3699.49869,-6443.28581,-3059.24084,-1720.08742
0.834016667,69.33,32.85,1.035833333,1.960833333,0.936827044,8197.3568,3349.76528,-6199.40152,-2673.17239,-2071.52605
0.86929,69.89,38.43,1.460833333,2.3625,0.97122263,9423.4764,3715.54997,-7459.44709,-3035.43425,-2029.35728
0.815816667,41.70333333,51.75,1.1325,1.145833333,0.918935091,7748.81402,2419.97649,-6509.01937,-1937.03796,-1124.97101
0.833496667,83.93666667,52.29,2.225833333,1.8525,0.936317771,11926.2671,3333.63799,-9823.76369,-2576.31856,-2257.01709
0.915743333,96.91,49.83,0.830833333,2.489166667,0.999958841,7696.09278,4309.6589,-5527.76644,-3232.12639,-2643.71789
0.82431,104.75,43.37,2.675833333,2.965833333,0.927297426,13914.1975,4436.52843,-11207.4251,-3581.27065,-2962.10926
0.841296667,87.85666667,45.31,1.4675,0.665833333,0.943956451,9792.62075,2281.52068,-7506.8401,-1511.79847,-2449.91399
0.88125,48.79666667,41.07,1.9775,2.0325,0.982801888,10488.9809,3276.08731,-9011.36887,-2737.01028,-1397.26128
0.838176667,59.90333333,50.75,0.559166667,0.565833333,0.940900023,6357.90143,2030.77334,-4745.37547,-1416.75489,-1622.01792
0.919903333,108.39,49.91,1.365833333,2.175833333,0.99998056,9492.22619,4149.63369,-7142.97494,-2941.38329,-2955.2752
0.927703333,43.15,48.05,2.159166667,1.0125,0.997808413,10647.0103,2541.36509,-9541.06196,-1853.5899,-1189.08786
0.84121,84.40333333,58.31,2.655833333,0.875833333,0.943872019,13157.3637,2454.39917,-11122.2037,-1697.88967,-2186.31963
0.906556667,91.77666667,53.09,1.3975,1.649166667,0.999952676,9387.59289,3358.13861,-7238.60786,-2443.7787,-2456.16206
0.889743333,62.75,58.97,2.549166667,0.894166667,0.990999236,12337.7808,2346.15831,-10729.2978,-1711.63337,-1620.27515
0.877436667,71.05666667,48.45,0.944166667,2.119166667,0.979112431,7771.5166,3502.89423,-5887.00585,-2816.00718,-1953.60032
0.888096667,74.93,35.63,0.719166667,0.940833333,0.989405612,7318.52858,2461.83573,-5198.35271,-1754.82346,-2205.15349
0.858196667,50.05666667,55.39,2.790833333,1.4125,0.960445817,12892.2588,2726.09139,-11507.6334,-2177.84899,-1321.82759
0.87215,56.07666667,37.41,1.500833333,1.3625,0.9739954,9239.19225,2724.24639,-7577.85361,-2133.0367,-1636.58793
0.811223333,86.78333333,36.57,0.555833333,2.820833333,0.914401407,7119.85354,4221.91757,-4751.71806,-3449.54792,-2544.3666
0.81105,92.24333333,59.73,2.074166667,1.264166667,0.914232649,11558.9678,2844.20127,-9389.05341,-2047.33427,-2370.66765
0.849963333,97.79666667,54.25,1.3575,2.4825,0.952422661,9547.63094,3969.60709,-7164.18072,-3145.06225,-2599.98347
0.80975,44.64333333,49.63,2.2925,1.794166667,0.912949006,11365.9234,3028.82911,-10057.5753,-2521.89305,-1219.31711
0.806976667,44.03666667,54.17,1.380833333,1.999166667,0.910208616,8539.90988,3208.964,-7275.33451,-2706.79956,-1171.56066
0.831503333,97.37666667,46.71,0.954166667,2.684166667,0.93436172,8435.29955,4149.61842,-5952.64771,-3326.86362,-2703.38617
0.907423333,54.39666667,43.07,2.2075,0.8425,0.998981943,11155.7974,2377.24717,-9685.5022,-1702.5323,-1540.05982
0.88021,104.05,56.83,1.470833333,1.330833333,0.981795809,9969.65808,2958.22716,-7478.99804,-2108.63818,-2721.404
0.92389,108.9966667,48.89,1.600833333,1.640833333,0.999981113,10180.4094,3707.45309,-7852.47796,-2443.67199,-2988.63623
0.80559,44.27,37.59,1.5825,1.5625,0.908837634,9274.94534,2816.81354,-7893.00753,-2312.91138,-1291.04247
0.922416667,61.25666667,36.59,1.644166667,0.949166667,0.99962614,9527.72562,2657.40629,-7983.70802,-1803.25077,-1795.33377
0.821883333,46.97666667,40.49,1.114166667,2.2475,0.924910208,7871.60624,3456.18003,-6448.00705,-2930.91416,-1349.37661
0.811916667,44.08333333,30.71,0.740833333,0.680833333,0.915087614,6741.84183,2019.60324,-5316.22694,-1518.15477,-1330.40075
0.90751,64.38333333,48.85,1.0025,1.569166667,0.999712135,7668.68359,3121.07385,-6046.24542,-2371.60469,-1766.04308
0.89919,88.13666667,55.25,1.0475,1.489166667,0.999936923,8355.741,3031.40876,-6181.91714,-2251.20126,-2328.32183
0.849183333,99.38333333,41.49,2.670833333,1.1875,0.951662182,13771.278,2808.20769,-11156.3615,-1979.39195,-2835.83679
0.805763333,61.44333333,53.53,2.760833333,1.3875,0.9090091,13101.9759,2782.97106,-11494.1366,-2155.86274,-1640.23624
